Festival Name,Hotel Name,Prompt for DALL-E,Caption
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
Diwali,Taj Palace,A luxurious hotel decorated with golden diyas and fireworks illuminating the sky.,Celebrate the festival of lights in grandeur!
Holi,Marriott Hotel,"Guests enjoying Holi with vibrant colors, traditional music, and festive sweets in an open courtyard.",Splash into the colors of joy this Holi!
Christmas,The Oberoi,A beautifully decorated Christmas tree in a lavish hotel lobby with Santa distributing gifts.,Experience the magic of Christmas like never before!
Eid,ITC Grand Chola,A grand feast with traditional Eid delicacies in a luxurious setting with families celebrating together.,Eid Mubarak! Indulge in the feast of togetherness.
Navratri,The Leela,A lively Garba night with people dressed in traditional attire dancing with enthusiasm.,Dance your heart out this Navratri!
Pongal,Vivanta Chennai,"A traditional Pongal setup with sugarcane decorations, kolam, and freshly made Pongal in earthen pots.",Harvest happiness this Pongal at Vivanta!
